"","Alveolar.bipotent.progenitor","Alveolar.macrophage.Ear2.high","Alveolar.macrophage.Pclaf.high","AT1.cell","AT2.cell","B.cell","Basophil","Ciliated.cell","Clara.cell","Dendritic.cell.Gngt2.high","Dendritic.cell.H2.M2.high","Dendritic.cell.Mgl2.high","Dendritic.cell.Tubb5.high","Dendritic.cell.Naaa.high","Endothelial.cell.Kdr.high","Endothelial.cell.Tmem100.high","Endothelial.cell.Vwf.high","Eosinophil","IgA.producing.B.cell","Interstitial.macrophage","Monocyte.progenitor","Neutrophil","NK.cell","Nuocyte","Plasmacytoid.dendritic.cell","Stromal.cell.Acta2.high","Stromal.cell.Dcn.high","Stromal.cell.Inmt.high","T.cell.Cd8b1.high"
"Mfap3l",0.03125,0.002004008,0,0.006134969,0.045544554,0.005730659,0,0.046296296,0.042424242,0.01242236,0,0,0,0.005376344,0.019230769,0.013986014,0,0,0.033333333,0,0,0,0.010909091,0.006622517,0,0,0.010928962,0.005988024,0.006521739
"Mfap4",0,0.022044088,0.027777778,0.055214724,0.017821782,0.015759312,0.071428571,0.018518519,0.018181818,0.01242236,0.047619048,0.01863354,0.033333333,0.02688172,0,0.027972028,0.040540541,0.033962264,0,0.026785714,0,0,0.043636364,0.01986755,0.013559322,0.064516129,1.50273224,2.317365269,0.015217391
"Mfap5",0,0.018036072,0.027777778,0.024539877,0.018811881,0.015759312,0,0.009259259,0.018181818,0.01863354,0.142857143,0.02484472,0.066666667,0.02688172,0.019230769,0.013986014,0.040540541,0.022641509,0,0.022321429,0,0,0.032727273,0.013245033,0.016949153,0.274193548,2.513661202,1.377245509,0.013043478
"Mff",0.25,0.102204409,0.055555556,0.165644172,0.108415842,0.080229226,0,0.138888889,0.084848485,0.031055901,0,0.055900621,0.1,0.075268817,0.125,0.146853147,0.121621622,0.049056604,0.066666667,0.084821429,0.307692308,0.057142857,0.054545455,0.079470199,0.06779661,0.096774194,0.12568306,0.107784431,0.080434783
"Mfge8",0.15625,0.03006012,0.027777778,0.521472393,0.056930693,0.025787966,0,0.027777778,0.078787879,0.01863354,0.142857143,0.111801242,0.133333333,0.016129032,0.038461538,0.111888112,0.351351351,0.01509434,0.033333333,0.049107143,0,0,0.025454545,0.026490066,0.047457627,0.338709677,0.306010929,0.383233533,0.023913043
"Mfhas1",0,0.01002004,0.027777778,0.049079755,0.005940594,0.010028653,0,0.018518519,0,0,0,0.049689441,0,0.010752688,0,0.034965035,0.027027027,0,0.033333333,0.004464286,0,0,0.007272727,0.006622517,0.003389831,0,0.027322404,0.02994012,0.019565217
"Mfn1",0.03125,0.006012024,0,0.006134969,0.02029703,0.004297994,0,0.027777778,0.012121212,0.00621118,0.047619048,0,0,0,0.019230769,0.013986014,0.013513514,0.00754717,0,0.004464286,0,0,0.007272727,0.006622517,0.003389831,0,0.021857923,0.011976048,0.010869565
"Mfn2",0,0.022044088,0.027777778,0,0.017821782,0.010028653,0,0.018518519,0.036363636,0.01863354,0,0,0,0.016129032,0.009615385,0.006993007,0.040540541,0.00754717,0,0.03125,0,0.014285714,0.018181818,0.039735099,0.006779661,0.064516129,0.049180328,0.023952096,0.004347826
"Mfng",0,0.014028056,0.083333333,0,0.006930693,0.061604585,0.071428571,0.009259259,0.012121212,0.043478261,0,0.074534161,0.133333333,0.053763441,0.192307692,0.104895105,0.094594595,0.022641509,0.033333333,0.0625,0.076923077,0,0.058181818,0.066225166,0.016949153,0,0,0.011976048,0.063043478
"Mfsd1",0.125,0.084168337,0.166666667,0.073619632,0.054455446,0.038681948,0,0.101851852,0.060606061,0.02484472,0.047619048,0.01242236,0.233333333,0.053763441,0.076923077,0.034965035,0.094594595,0.01509434,0,0.183035714,0.153846154,0,0.029090909,0.033112583,0.071186441,0,0.071038251,0.071856287,0.015217391
"Mfsd10",0,0.046092184,0.055555556,0.049079755,0.02970297,0.011461318,0,0.101851852,0.042424242,0.02484472,0,0.086956522,0.033333333,0.059139785,0.019230769,0.013986014,0.040540541,0.018867925,0.033333333,0.035714286,0.230769231,0.014285714,0.043636364,0.052980132,0.027118644,0.064516129,0.076502732,0.131736527,0.023913043
